s, 10
497,1
497,4
2297,1
2314,4
4147,2
4164,3
5798,2
5814,3
7514,1
7532,2
9248,1
9266,2
11083,3
11100,4
11582,1
s, 12
12150,4
12150,3
12399,1
12800,4
12800,3
13034,3
13049,4
13267,1
13850,4
13850,3
14100,1
14516,4
14533,3
14934,1
15583,1
15600,2
15834,4
15851,3
16250,1
16683,4
16700,2
17317,1
17550,4
18016,1
18433,4
19050,1
19334,4
19735,1
20117,4
20835,1
21002,4
21435,1
21888,4
22455,3
22738,2
23173,3
23574,2
24258,1
s, 15
24454,4
24708,3
24926,2
25144,1
25326,3
25545,4
25760,3
26395,4
26863,2
27096,3
27514,3
28148,1
28547,3
28781,2
28998,4
29248,3
29848,4
30432,3
30665,2
31588,1
32021,3
32220,2
32472,4
32721,3
33372,4
33788,3
33988,2
34438,2
35055,1
35538,3
35739,2
35939,4
36155,3
36806,4
37222,3
37438,2
38306,1
38940,4
39173,4
39422,4
39640,4
39840,4
40057,3
40256,4
40473,2
40690,3
40922,1
41323,3
41990,4
42190,2
42423,4
42639,3
42907,4
43108,2
43327,3
43545,1
43744,1
43978,3
44195,1
44412,4
45428,4
45661,3
45861,2
46115,3
46332,1
46549,2
46982,1
47198,3
47399,2
47598,4
47849,3
48049,2
48265,3
48698,1
49133,4
49331,3
